nom_fr;nom_en;code_sco;code_filiere;code_dept;prefix
BATIMENTS ET TRAVAUX PUBLICS;BUILDING AND PUBLIC WORKS;BTP;BTP;GCI;BT
ELECTROTECHNIQUE;ELECTROTECHNICS;ET;ETD;GEL;ET
CONSTRUCTION MECANIQUE;MECHANICAL CONSTRUCTION;CM;COM;GME;CM
FABRICATION MECANIQUE;MANUFACTURING;FM;FAM;GME;FM
METIER DU BOIS;WOOD WORK;MEB;MEB;GFO;MB
EXPLOITATION FORESTIERE;FOREST EXPLOITATION;EF;EFO;GFO;EF
INFORMATIQUE INDUSTRIELLE;COMPUTER SCIENCES FOR INDUSTRIES;II;G2I;GINFO;II
TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION;INFORMATION AND COMMUNICATION TECHNOLOGIES;TIC;GTIC;GINFO;TI
CONSEILLER D'ORIENTATION;GUIDANCE AND COUNSELLING;CO;COR;SED;CO
COMMUNICATION ADMINISTRATIVE;ADMINISTRATIVE COMMUNICATION;CAD;CAD;TAD;CA
